customer_id|customer_address|trn_id|trn_date|trn_amount
C1|1 Smith Street, London|T01|03/16/2016|100
C2|2 Smith Street, London|T02|03/16/2016|200
C2|2 Smith Street, London|T03|03/16/2016|50
C2|2 Smith Street, London|T04|03/16/2016|300
C2|2 Smith Street, London|T05|03/16/2016|100
C2|2 Smith Street, London|T06|03/16/2016|150
C2|2 Smith Street, London|T07|03/16/2016|400
C2|2 Smith Street, London|T08|03/16/2016|50
C2|2 Smith Street, London|T09|03/16/2016|50
C2|2 Smith Street, London|T10|03/16/2016|10
C2|2 Smith Street, London|T11|03/16/2016|10
C2|2 Smith Street, London|T12|03/16/2016|10
C2|2 Smith Street, London|T13|03/16/2016|20
C1|1 Smith Street, London|T14|03/16/2016|51
C1|1 Smith Street, London|T15|03/16/2016|25
C1|1 Smith Street, London|T16|03/16/2016|27
C1|1 Smith Street, London|T17|03/16/2016|29
C1|1 Smith Street, London|T18|03/16/2016|19
C1|1 Smith Street, London|T19|03/16/2016|33
C1|1 Smith Street, London|T20|03/16/2016|35
C1|1 Smith Street, London|T21|03/16/2016|39
C1|1 Smith Street, London|T22|03/16/2016|41
C1|1 Smith Street, London|T23|03/16/2016|199
C2|2 Smith Street, London|T24|03/16/2016|400
